Category,Q1_2024,Q2_2024,Q3_2024,Q4_2024,Q1_2023,Q2_2023,Q3_2023,Q4_2023
Revenue,12500000,13200000,13800000,14500000,11000000,11500000,12000000,12300000
Cost of Revenue,7500000,7920000,8280000,8700000,6820000,7130000,7440000,7626000
Gross Profit,5000000,5280000,5520000,5800000,4180000,4370000,4560000,4674000
Operating Expenses,3000000,3100000,3150000,3200000,2800000,2850000,2900000,2950000
R&D Expenses,800000,850000,870000,900000,700000,720000,750000,780000
Sales & Marketing,1200000,1250000,1280000,1300000,1100000,1130000,1150000,1170000
General & Administrative,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
Operating Income,2000000,2180000,2370000,2600000,1380000,1520000,1660000,1724000
Interest Income,50000,52000,53000,55000,45000,46000,47000,48000
Interest Expense,150000,150000,150000,150000,160000,160000,160000,160000
Pre-tax Income,1900000,2082000,2273000,2505000,1265000,1406000,1547000,1612000
Income Tax,475000,520500,568250,626250,316250,351500,386750,403000
Net Income,1425000,1561500,1704750,1878750,948750,1054500,1160250,1209000
Current Assets,25000000,26500000,27800000,29000000,22000000,23000000,24000000,24500000
Current Liabilities,8000000,8200000,8400000,8600000,7500000,7600000,7700000,7800000
Total Assets,45000000,46500000,48000000,50000000,40000000,41000000,42000000,43000000
Total Liabilities,15000000,15200000,15400000,15600000,14500000,14600000,14700000,14800000
Shareholders Equity,30000000,31300000,32600000,34400000,25500000,26400000,27300000,28200000
Operating Cash Flow,2200000,2400000,2600000,2850000,1500000,1650000,1800000,1900000
Capital Expenditures,500000,520000,540000,560000,450000,460000,470000,480000
Free Cash Flow,1700000,1880000,2060000,2290000,1050000,1190000,1330000,1420000
