Department,Category,Jan_Budget,Jan_Actual,Feb_Budget,Feb_Actual,Mar_Budget,Mar_Actual,Q1_Budget,Q1_Actual,Variance,Variance_Percent
Sales,Salaries,250000,245000,250000,248000,250000,252000,750000,745000,-5000,-0.67
Sales,Commissions,75000,82000,75000,78500,75000,85000,225000,245500,20500,9.11
Sales,Travel,15000,13500,15000,16200,15000,14800,45000,44500,-500,-1.11
Sales,Marketing,50000,48000,50000,52000,50000,51000,150000,151000,1000,0.67
Sales,Training,10000,8500,10000,9000,10000,10500,30000,28000,-2000,-6.67
Operations,Salaries,180000,178000,180000,180000,180000,181000,540000,539000,-1000,-0.19
Operations,Equipment,25000,23000,25000,26500,25000,24500,75000,74000,-1000,-1.33
Operations,Supplies,12000,11500,12000,12300,12000,11800,36000,35600,-400,-1.11
Operations,Maintenance,8000,7500,8000,8200,8000,7800,24000,23500,-500,-2.08
Operations,Utilities,15000,14500,15000,15500,15000,14800,45000,44800,-200,-0.44
IT,Salaries,200000,198000,200000,200000,200000,202000,600000,600000,0,0.00
IT,Software,35000,32000,35000,36000,35000,34500,105000,102500,-2500,-2.38
IT,Hardware,20000,18500,20000,21000,20000,19500,60000,59000,-1000,-1.67
IT,Cloud Services,45000,44000,45000,45500,45000,46000,135000,135500,500,0.37
IT,Security,15000,15000,15000,14500,15000,15500,45000,45000,0,0.00
HR,Salaries,120000,118000,120000,120000,120000,121000,360000,359000,-1000,-0.28
HR,Recruiting,25000,22000,25000,27000,25000,24000,75000,73000,-2000,-2.67
HR,Benefits,85000,83000,85000,85000,85000,86000,255000,254000,-1000,-0.39
HR,Training,20000,18500,20000,19000,20000,21000,60000,58500,-1500,-2.50
HR,Employee Events,10000,9500,10000,10500,10000,9800,30000,29800,-200,-0.67
Finance,Salaries,150000,148000,150000,150000,150000,151000,450000,449000,-1000,-0.22
Finance,Audit Fees,30000,30000,30000,30000,30000,30000,90000,90000,0,0.00
Finance,Software,12000,11500,12000,12000,12000,12500,36000,36000,0,0.00
Finance,Consulting,20000,18000,20000,22000,20000,19000,60000,59000,-1000,-1.67
Finance,Compliance,15000,14500,15000,15000,15000,15500,45000,45000,0,0.00
Admin,Office Rent,50000,50000,50000,50000,50000,50000,150000,150000,0,0.00
Admin,Insurance,25000,25000,25000,25000,25000,25000,75000,75000,0,0.00
Admin,Legal Fees,15000,12000,15000,16000,15000,14000,45000,42000,-3000,-6.67
Admin,Office Supplies,8000,7500,8000,8200,8000,7800,24000,23500,-500,-2.08
Admin,Communications,5000,4800,5000,5000,5000,5200,15000,15000,0,0.00
